question_text,category,difficulty,correct_answer,option_1,option_2,option_3,option_4
Chức năng chính của thuật toán mã hóa RSA là gì?,IT,hard,option_1,Bảo mật dữ liệu,Tăng tốc xử lý,Nén file,Tạo backup
Trong lập trình hướng đối tượng tính đa hình là gì?,IT,hard,option_4,Định nghĩa nhiều lớp,Chạy song song,Tính kế thừa,Gọi phương thức theo ngữ cảnh
Docker là gì?,IT,hard,option_2,Một loại ngôn ngữ lập trình,Một nền tảng ảo hóa,Một hệ điều hành,Một phương pháp mã hóa
AWS là viết tắt của gì?,IT,hard,option_1,Amazon Web Service,Android Web Service,Adobe Web Service,Apple Web Service
Trong máy tính RAID là gì?,IT,hard,option_3,Hệ điều hành,Cấu trúc dữ liệu,Kỹ thuật lưu trữ dữ liệu,Ngôn ngữ lập trình
SQL Injection là gì?,IT,hard,option_3,Lỗi phần cứng,Lỗi phần mềm,Lỗ hổng bảo mật,Loại cơ sở dữ liệu
Ngôn ngữ nào là ngôn ngữ lập trình hàm?,IT,hard,option_2,Java,Haskell,SQL,HTML
Đâu là một phương pháp mã hóa bất đối xứng?,IT,hard,option_1,RSA,SHA,MD5,DES
Docker giúp tạo ra môi trường nào?,IT,hard,option_3,Cloud,Server,Container,Hardware
Big-O Notation mô tả điều gì?,IT,hard,option_1,Độ phức tạp thời gian,Dung lượng RAM,Dung lượng ổ cứng,Tốc độ xử lý CPU
Trong cơ sở dữ liệu JOIN làm gì?,IT,hard,option_2,Xóa dữ liệu,Kết nối các bảng,Tạo bảng mới,Thay đổi bảng hiện tại
Lambda trong Python được sử dụng để gì?,IT,hard,option_1,Tạo hàm ẩn danh,Chạy chương trình,Ghi đè hàm,Tạo lớp mới
Tính năng nào không phải của OOP?,IT,hard,option_4,Đa hình,Kế thừa,Đóng gói,Tạo bảng
Loại mã nào cần thiết để tạo ứng dụng phân tán?,IT,hard,option_2,Đồng bộ,Bất đồng bộ,Định danh,Nhị phân
Tấn công SQL Injection chủ yếu nhằm mục đích gì?,IT,hard,option_2,Tăng tốc hệ thống,Truy cập trái phép dữ liệu,Tạo lỗi ứng dụng,Giảm băng thông
Đâu là một framework JavaScript phổ biến cho phát triển front-end?,IT,hard,option_2,Laravel,React.js,Django,Ruby on Rails
Trong mạng “DHCP” là viết tắt của gì?,IT,hard,option_1,Dynamic Host Configuration Protocol,Data Hosting Control Protocol,Dynamic Hosting Configuration Port,Dynamic Host Control Protocol
Lệnh nào trong Git để đưa toàn bộ thay đổi lên máy chủ?,IT,hard,option_4,git fetch,git merge,git pull,git push
Hệ thống lưu trữ nào nhanh hơn: SSD hay HDD?,IT,hard,option_2,HDD,SSD,Giống nhau,Tùy thuộc vào hệ điều hành
Trong hệ điều hành Linux lệnh ls có chức năng gì?,IT,hard,option_2,Xóa file,Hiển thị danh sách file,Tạo file mới,Sao chép file
Sự khác biệt chính giữa TCP và UDP là gì?,IT,hard,option_3,UDP đáng tin cậy hơn,TCP có tốc độ cao hơn,UDP không có xác nhận,TCP không dùng cổng
HTTPS sử dụng giao thức bảo mật nào?,IT,hard,option_1,SSL/TLS,SSH,DNS,POP3
Hệ điều hành Linux là ví dụ của hệ điều hành gì?,IT,hard,option_2,Độc quyền,Mã nguồn mở,Đóng phí,Thương mại hóa
Bảo mật nào cần thiết khi truyền dữ liệu nhạy cảm qua mạng?,IT,hard,option_2,Giao thức UDP,Mã hóa,Nén,Truy cập mở
Trong Python biến nào toàn cục?,IT,hard,option_4,Biến cục bộ,Biến dùng chung,Biến duy nhất,Biến global
Để phân tích dữ liệu lớn công cụ nào thường được sử dụng?,IT,hard,option_2,GIMP,Hadoop,Notepad++,Blender
Chức năng của Firewall là gì?,IT,hard,option_2,Tăng tốc mạng,Ngăn chặn truy cập trái phép,Quản lý cơ sở dữ liệu,Tăng hiệu suất CPU
Trong cấu trúc dữ liệu đồ thị có đặc điểm gì?,IT,hard,option_3,Chỉ có nút,Chỉ có cạnh,Gồm nút và cạnh,Chỉ có trọng số
Điều gì đúng khi nói về Docker Container?,IT,hard,option_2,Một phần của hệ điều hành,Độc lập với hệ điều hành,Chỉ chạy trên Linux,Chỉ chạy trên Windows
Một trong các lợi ích của NoSQL là gì?,IT,hard,option_1,Linh hoạt trong xử lý dữ liệu không có cấu trúc,Tốc độ truy xuất chậm,Không hỗ trợ phân tán,Đắt hơn RDBMS
Công cụ nào dùng để kiểm thử phần mềm?,IT,hard,option_3,Photoshop,JIRA,Selenium,After Effects
Trong lập trình tính đóng gói dùng để làm gì?,IT,hard,option_1,Bảo vệ dữ liệu,Tăng dung lượng bộ nhớ,Giảm hiệu suất,Tăng tốc xử lý
Tấn công DDoS thường nhằm mục đích gì?,IT,hard,option_2,Phân tích mạng,Làm chậm hệ thống,Tăng tốc độ xử lý,Bảo vệ dữ liệu
Để phát triển ứng dụng AI ngôn ngữ nào phổ biến nhất?,IT,hard,option_1,Python,Java,HTML,CSS
Cơ sở dữ liệu nào thường dùng cho hệ thống phân tán?,IT,hard,option_2,MySQL,MongoDB,Excel,SQLite
Các thuộc tính margin và padding trong CSS dùng để làm gì?,IT,hard,option_3,Thêm nội dung,Định dạng chữ,Căn chỉnh khoảng cách,Tạo bảng
Giao thức ""NTP"" trong mạng dùng để gì?,IT,hard,option_1,Đồng bộ hóa thời gian,Bảo mật hệ thống,Quản lý tài khoản,Nén dữ liệu
Đâu là công cụ mã nguồn mở để quản lý container?,IT,hard,option_1,Kubernetes,Photoshop,Blender,After Effects
Loại thuật toán tìm kiếm nào có độ phức tạp là O(log n)?,IT,hard,option_2,Tìm kiếm tuyến tính,Tìm kiếm nhị phân,Tìm kiếm băm,Tìm kiếm tuần tự
Trong lập trình khái niệm “recursion” (đệ quy) là gì?,IT,hard,option_1,Một hàm tự gọi lại chính nó,Một hàm gọi hàm khác,Một hàm không kết thúc,Một vòng lặp
Kỹ thuật nào thường dùng để bảo vệ mật khẩu trong cơ sở dữ liệu?,IT,hard,option_3,Nén,Mã hóa,Hash,Phân mảnh
Đâu là công cụ dùng để triển khai và quản lý ứng dụng Kubernetes?,IT,hard,option_4,Git,Jenkins,Ansible,Helm
Trong lập trình hướng đối tượng tính đa hình (polymorphism) cho phép làm gì?,IT,hard,option_2,Sử dụng nhiều loại dữ liệu,Định nghĩa nhiều hàm khác nhau cho cùng một tên,Chỉ dùng một kiểu dữ liệu,Định nghĩa một kiểu duy nhất
Trong thuật toán sắp xếp ""Quick Sort"" có độ phức tạp thời gian trung bình là gì?,IT,hard,option_3,O(n),O(n^2),O(n log n),O(log n)
Trong hệ điều hành ""thrashing"" là gì?,IT,hard,option_4,Khi bộ nhớ bị đầy,Khi CPU quá tải,Khi hệ thống ngừng hoạt động,Khi có quá nhiều truy cập vào bộ nhớ
Trong Python *args được dùng để làm gì?,IT,hard,option_1,Truyền nhiều tham số,Truyền một tham số,Truyền đối tượng duy nhất,Truyền kiểu dữ liệu
Trong lập trình mạng giao thức ICMP thường dùng để làm gì?,IT,hard,option_1,Kiểm tra kết nối mạng,Truyền tệp tin,Bảo mật dữ liệu,Tải dữ liệu
Chức năng chính của giao thức ARP trong mạng là gì?,IT,hard,option_2,Xác định địa chỉ IP,Xác định địa chỉ MAC,Xác định địa chỉ cổng,Kết nối với DNS
Hệ điều hành Windows được viết chủ yếu bằng ngôn ngữ lập trình nào?,IT,hard,option_4,C,Python,Java,C++
Nước có công thức hóa học là gì?,Science,easy,option_1,H2O,CO2,NaCl,O2
Trái Đất quay quanh thiên thể nào?,Science,easy,option_2,Mặt Trăng,Mặt Trời,Sao Hỏa,Sao Kim
Mắt người có thể phân biệt được màu sắc nhờ loại tế bào nào?,Science,easy,option_2,Tế bào que,Tế bào hình nón,Tế bào da,Tế bào xương
Nguyên tố hóa học nào có ký hiệu là O?,Science,easy,option_1,Oxy,Vàng,Bạc,Đồng
Động vật nào được gọi là “vua của rừng rậm”?,Science,easy,option_2,Hổ,Sư tử,Gấu,Voi
Mặt Trăng là vệ tinh của hành tinh nào?,Science,easy,option_4,Sao Thổ,Sao Mộc,Sao Kim,Trái Đất
Đơn vị đo lường khối lượng là gì?,Science,easy,option_2,Mét,Kilogram,Giây,Nhiệt độ
Loại thực vật nào là nguồn gốc của oxy trong quá trình quang hợp?,Science,easy,option_2,Cỏ,Thực vật xanh,Nấm,Tảo
Loại khí nào chiếm phần lớn trong khí quyển của Trái Đất?,Science,easy,option_3,Oxy,Carbon dioxide,Nitơ,Hydro
Kim loại nào có tính dẫn điện tốt nhất?,Science,easy,option_2,Nhôm,Đồng,Sắt,Gỗ
Quá trình nào giúp cây tạo ra thức ăn và oxy từ ánh sáng?,Science,easy,option_1,Quang hợp,Hô hấp,Tiêu hóa,Phân hủy
Trái Đất có bao nhiêu lục địa chính?,Science,easy,option_3,5,6,7,8
Chất nào là thành phần chính của xương và răng?,Science,easy,option_2,Sắt,Canxi,Đồng,Kẽm
Nhiệt độ nước đóng băng là bao nhiêu độ C?,Science,easy,option_1,0°C,100°C,-10°C,50°C
Tế bào là đơn vị cơ bản của loại cấu trúc nào?,Science,easy,option_3,Thực vật,Động vật,Cơ thể sống,Đá
Tầng nào của khí quyển có chứa phần lớn khí oxy và nitơ?,Science,easy,option_1,Tầng đối lưu,Tầng bình lưu,Tầng trung lưu,Tầng nhiệt
Nước là hợp chất của hai nguyên tố nào?,Science,easy,option_2,Oxy và Carbon,Hydro và Oxy,Nitơ và Oxy,Hydro và Nitơ
Loại nào sau đây không phải là một loại đá?,Science,easy,option_4,Đá trầm tích,Đá magma,Đá biến chất,Đá rừng
Nguyên tố nào là thành phần chính của mặt trời?,Science,easy,option_3,Nitơ,Carbon,Hydro,Sắt
Động vật nào có thể bay được?,Science,easy,option_3,Cá,Chó,Chim,Mèo
Trong thực vật lá cây thường có màu gì?,Science,easy,option_1,Xanh,Đỏ,Tím,Vàng
Nguyên tố nào là thành phần chính của khí thở vào?,Science,easy,option_2,Carbon dioxide,Oxy,Argon,Metan
Đại lượng nào dùng để đo khoảng cách?,Science,easy,option_2,Kilogram,Mét,Giây,Lít
Ai là nhà khoa học nổi tiếng với phát minh về bóng đèn điện?,Science,easy,option_3,Isaac Newton,Albert Einstein,Thomas Edison,Nikola Tesla
Loại động vật nào sống cả trên cạn và dưới nước?,Science,easy,option_1,Rùa,Chim,Cá,Khỉ
Thực vật nào sản xuất ra hạt cà phê?,Science,easy,option_3,Cây cacao,Cây chè,Cây cà phê,Cây điều
Đơn vị nào đo lường thời gian?,Science,easy,option_3,Lít,Mét,Giây,Kilogram
Cấu trúc nào trong cơ thể người bơm máu đi khắp cơ thể?,Science,easy,option_4,Gan,Phổi,Dạ dày,Tim
Nguyên tố nào được ký hiệu là H trong bảng tuần hoàn?,Science,easy,option_2,Helium,Hydro,Liti,Sắt
Nhà vật lý nào đã phát hiện ra định luật vạn vật hấp dẫn?,Science,easy,option_2,Albert Einstein,Isaac Newton,Marie Curie,Galileo Galilei
Sét là hiện tượng liên quan đến loại năng lượng nào?,Science,easy,option_2,Nhiệt,Điện,Cơ,Hóa
Cây cối cần loại khí nào để quang hợp?,Science,easy,option_1,Carbon dioxide,Oxy,Nitơ,Khí metan
Hành tinh nào gần Mặt Trời nhất?,Science,easy,option_2,Sao Kim,Sao Thủy,Trái Đất,Sao Hỏa
Bộ phận nào của cây giúp cây hấp thụ nước và khoáng chất từ đất?,Science,easy,option_4,Thân,Lá,Hoa,Rễ
Trong sinh học đơn vị cơ bản của sự sống là gì?,Science,easy,option_2,Nguyên tử,Tế bào,Mô,Hệ cơ quan
Nguyên tố nào là thành phần chính của vỏ Trái Đất?,Science,easy,option_1,Sắt,Silic,Nhôm,Magiê
Đại lượng nào dùng để đo lượng nước?,Science,easy,option_1,Lít,Kilogram,Giây,Mét
Tầng nào của Trái Đất chứa phần lớn lớp đất và đá?,Science,easy,option_2,Tầng thủy quyển,Tầng thạch quyển,Tầng nhiệt quyển,Tầng trung lưu
Nguyên tố nào có số nguyên tử là 6?,Science,easy,option_1,Carbon,Nitơ,Oxy,Hydro
Năng lượng nào giúp chúng ta nhìn thấy mọi vật xung quanh?,Science,easy,option_3,Điện năng,Năng lượng âm thanh,Năng lượng ánh sáng,Năng lượng hóa học
Sắt là loại nguyên tố có tính chất nào nổi bật?,Science,easy,option_4,Dẫn nhiệt,Dẫn điện,Có từ tính,Cả ba đáp án đều đúng
Đại lượng nào đo cường độ dòng điện?,Science,easy,option_2,Vôn,Ampe,Ôm,Watt
Quá trình phân hủy các chất hữu cơ nhờ vi khuẩn gọi là gì?,Science,easy,option_4,Phân giải,Lên men,Phân hủy,Cả ba đáp án đều đúng
Tế bào nào có chức năng bảo vệ cơ thể khỏi vi khuẩn và vi rút?,Science,easy,option_2,Hồng cầu,Bạch cầu,Tế bào da,Tế bào thần kinh
Năng lượng trong thực phẩm chủ yếu là dạng nào?,Science,easy,option_1,Năng lượng hóa học,Năng lượng nhiệt,Năng lượng cơ học,Năng lượng điện
Trái Đất quay quanh trục của nó với chu kỳ bao lâu?,Science,easy,option_1,24 giờ,12 giờ,6 giờ,48 giờ
Bộ phận nào trong cơ thể chịu trách nhiệm lọc máu?,Science,easy,option_3,Gan,Phổi,Thận,Tim
Khu vực nào trên Trái Đất nhận được nhiều ánh sáng Mặt Trời nhất?,Science,easy,option_2,Vùng cực,Vùng nhiệt đới,Vùng ôn đới,Vùng biển
Tế bào nào giúp máu lưu thông trong cơ thể?,Science,easy,option_1,Hồng cầu,Tế bào da,Bạch cầu,Tế bào xương
Thành phần chính của khí quyển Trái Đất là gì?,Science,easy,option_1,Nitơ,Oxy,Carbon dioxide,Hydro
Nguyên tố nào là thành phần chính của khí quyển Trái Đất?,Science,medium,option_1,Sắt,Silic,Nhôm,Magiê
Tế bào nào là đơn vị cơ bản của hệ thần kinh?,Science,medium,option_1,Lít,Kilogram,Giây,Mét
Nhà khoa học nào đã phát minh ra thuyết tương đối?,Science,medium,option_2,Tầng thủy quyển,Tầng thạch quyển,Tầng nhiệt quyển,Tầng trung lưu
Tầng nào của khí quyển có vai trò quan trọng trong việc bảo vệ Trái Đất khỏi tia cực tím?,Science,medium,option_1,Carbon,Nitơ,Oxy,Hydro
Trong sinh học cấu trúc nào được gọi là “nhà máy năng lượng” của tế bào?,Science,medium,option_3,Điện năng,Năng lượng âm thanh,Năng lượng ánh sáng,Năng lượng hóa học
Nguyên tố nào có số nguyên tử bằng 1?,Science,medium,option_4,Dẫn nhiệt,Dẫn điện,Có từ tính,Cả ba đáp án đều đúng
Ai là người đầu tiên quan sát và ghi chép các tế bào bằng kính hiển vi?,Science,medium,option_2,Vôn,Ampe,Ôm,Watt
Đơn vị đo điện trở là gì?,Science,medium,option_4,Phân giải,Lên men,Phân hủy,Cả ba đáp án đều đúng
Quá trình nào trong sinh học liên quan đến việc truyền đạt thông tin di truyền?,Science,medium,option_2,Hồng cầu,Bạch cầu,Tế bào da,Tế bào thần kinh
Nguyên tố nào là thành phần chính của xương và răng trong cơ thể?,Science,medium,option_1,Năng lượng hóa học,Năng lượng nhiệt,Năng lượng cơ học,Năng lượng điện
Ánh sáng là dạng nào của năng lượng?,Science,medium,option_1,24 giờ,12 giờ,6 giờ,48 giờ
Nguyên tố hóa học nào được ký hiệu là ""Fe""?,Science,medium,option_3,Gan,Phổi,Thận,Tim
